Layer,Name,GEOID,CDCOVCR_2021
,,,"COVID-19 case rate (rate per 100,000 population), 2021"
Community area,Rogers Park,1,6927.9
Community area,Norwood Park,10,8581.1
Community area,Jefferson Park,11,8810.5
Community area,Forest Glen,12,8901.6
Community area,North Park,13,7996.0
Community area,Albany Park,14,9069.4
Community area,Portage Park,15,9221.7
Community area,Irving Park,16,8189.0
Community area,Dunning,17,10231.0
Community area,Montclare,18,9502.0
Community area,Belmont Cragin,19,9590.4
Community area,West Ridge,2,7817.6
Community area,Hermosa,20,9452.2
Community area,Avondale,21,8748.0
Community area,Logan Square,22,8464.8
Community area,Humboldt Park,23,9038.3
Community area,West Town,24,9964.4
Community area,Austin,25,9485.9
Community area,West Garfield Park,26,8543.0
Community area,East Garfield Park,27,9594.1
Community area,Near West Side,28,10238.5
Community area,North Lawndale,29,11027.4
Community area,Uptown,3,8019.4
Community area,South Lawndale,30,6309.0
Community area,Lower West Side,31,8595.3
Community area,Loop,32,11953.7
Community area,Near South Side,33,46269.0
Community area,Armour Square,34,4682.3
Community area,Douglas,35,7909.6
Community area,Oakland,36,8903.3
Community area,Fuller Park,37,9489.4
Community area,Grand Boulevard,38,13930.7
Community area,Kenwood,39,7841.2
Community area,Lincoln Square,4,6811.8
Community area,Washington Park,40,10467.8
Community area,Hyde Park,41,5968.5
Community area,Woodlawn,42,8539.6
Community area,South Shore,43,8441.0
Community area,Chatham,44,8283.6
Community area,Avalon Park,45,9793.5
Community area,South Chicago,46,8717.1
Community area,Burnside,47,8559.6
Community area,Calumet Heights,48,9203.5
Community area,Roseland,49,10633.0
Community area,North Center,5,7685.9
Community area,Pullman,50,10717.8
Community area,South Deering,51,8468.2
Community area,East Side,52,7900.4
Community area,West Pullman,53,8653.6
Community area,Riverdale,54,5999.5
Community area,Hegewisch,55,9618.1
Community area,Garfield Ridge,56,9238.8
Community area,Archer Heights,57,7276.9
Community area,Brighton Park,58,6650.9
Community area,McKinley Park,59,6472.6
Community area,Lake View,6,9482.4
Community area,Bridgeport,60,6306.1
Community area,New City,61,8929.6
Community area,West Elsdon,62,8939.1
Community area,Gage Park,63,8366.8
Community area,Clearing,64,9064.2
Community area,West Lawn,65,9031.4
Community area,Chicago Lawn,66,9112.9
Community area,West Englewood,67,10151.4
Community area,Englewood,68,10202.3
Community area,Greater Grand Crossing,69,9782.0
Community area,Lincoln Park,7,9403.9
Community area,Ashburn,70,9677.7
Community area,Auburn Gresham,71,8480.6
Community area,Beverly,72,9779.6
Community area,Washington Heights,73,10147.7
Community area,Mount Greenwood,74,10900.0
Community area,Morgan Park,75,7629.8
Community area,O'Hare,76,5494.8
Community area,Edgewater,77,6411.4
Community area,Near North Side,8,9117.3
Community area,Edison Park,9,10709.9
